bncc_indice,bncc_codigo,bncc_objetivo,curriculo_indice,curriculo_codigo,similaridade,nota_corte_usada
26,(EF08CO05),"(EF08CO05) Compreender os conceitos de paralelismo, concorrência e armazenamento/ processamento distribuídos.",183,(EF08HI03X),0.6935602,0.7299999999999998
27,(EF08CO06),(EF08CO06) Entender como é a estrutura e funcionamento da internet.,977,(EF07GE13ME),0.6368866,0.6299999999999997
27,(EF08CO06),(EF08CO06) Entender como é a estrutura e funcionamento da internet.,1584,(EF07LI04),0.5734435,0.6299999999999997
27,(EF08CO06),(EF08CO06) Entender como é a estrutura e funcionamento da internet.,1331,(EF89LP17C),0.5679827,0.6299999999999997
28,(EF08CO07),"(EF08CO07) Compartilhar informações por meio de redes sociais, compreendendo a sua dinâmica de funcionamento, de forma responsável e avaliando sua confiabilidade, considerando o respeito e a ética.",1393,(EF89LP10BX),0.6418896,0.6399999999999997
28,(EF08CO07),"(EF08CO07) Compartilhar informações por meio de redes sociais, compreendendo a sua dinâmica de funcionamento, de forma responsável e avaliando sua confiabilidade, considerando o respeito e a ética.",909,(EF89EF04P3),0.5855098,0.6399999999999997
28,(EF08CO07),"(EF08CO07) Compartilhar informações por meio de redes sociais, compreendendo a sua dinâmica de funcionamento, de forma responsável e avaliando sua confiabilidade, considerando o respeito e a ética.",953,(EFO7ER06),0.5793133,0.6399999999999997
29,(EF08CO08),(EF08CO08) Distinguir os tipos de dados pessoais que são solicitados em espaços digitais e os riscos associados.,1280,(EF08LP01A),0.6362369,0.6299999999999997
29,(EF08CO08),(EF08CO08) Distinguir os tipos de dados pessoais que são solicitados em espaços digitais e os riscos associados.,1202,(EF69LP17AX),0.6203836,0.6299999999999997
29,(EF08CO08),(EF08CO08) Distinguir os tipos de dados pessoais que são solicitados em espaços digitais e os riscos associados.,1564,(EF06Ll12),0.5777467,0.6299999999999997
30,(EF08CO09),(EF08CO09) Analisar criticamente as políticas de termos de uso das redes sociais e demais plataformas.,1418,(EF09LP02B),0.6410613,0.6399999999999997
30,(EF08CO09),(EF08CO09) Analisar criticamente as políticas de termos de uso das redes sociais e demais plataformas.,1176,(EF07LP01A),0.603833,0.6399999999999997
31,(EF08CO10),(EF08CO10) Discutir questões sobre segurança e privacidade relacionadas ao uso dos ambientes virtuais.,1636,(EF09LI08),0.7197583,0.7099999999999997
31,(EF08CO10),(EF08CO10) Discutir questões sobre segurança e privacidade relacionadas ao uso dos ambientes virtuais.,906,(EF67EF20P2),0.65386987,0.7099999999999997
31,(EF08CO10),(EF08CO10) Discutir questões sobre segurança e privacidade relacionadas ao uso dos ambientes virtuais.,851,(EF08CI06),0.6406435,0.7099999999999997
32,(EF08CO11),"(EF08CO11) Avaliar a precisão, relevância, adequação, abrangência e vieses que ocorrem em fontes de informação eletrônica",117,(EF69LP45X),0.60441446,0.5999999999999996
32,(EF08CO11),"(EF08CO11) Avaliar a precisão, relevância, adequação, abrangência e vieses que ocorrem em fontes de informação eletrônica",1425,(EF09LP01),0.60316086,0.5999999999999996
32,(EF08CO11),"(EF08CO11) Avaliar a precisão, relevância, adequação, abrangência e vieses que ocorrem em fontes de informação eletrônica",46,(EF06LI08),0.5482341,0.5999999999999996
33,(EF09CO01),(EF09CO01) Criar soluções de problemas para os quais seja adequado o uso de árvores e grafos para descrever suas informações e automatizá-las usando uma linguagem de programação.,1124,(EF69LP33),0.6972986,0.6899999999999997
